id,bin,triplet_type,median_rt
5aqq8r6w,4,H,324.89999985694885
5aqq8r6w,4,L,337
5aqq8r6w,5,H,350.40000009536743
5aqq8r6w,5,L,350.2000000476837
5aqq8r6w,6,H,347.2999999523163
5aqq8r6w,6,L,354.89999997615814
5ckvwhwy,1,H,438.75
5ckvwhwy,1,L,443.25
5ckvwhwy,2,H,435
5ckvwhwy,2,L,445.300000011921
5ckvwhwy,3,H,427.699999988079
5ckvwhwy,3,L,413.90000000596046
5ckvwhwy,4,H,383.95000000298023
5ckvwhwy,4,L,391.7000000178814
5ckvwhwy,5,H,404.59999999403954
5ckvwhwy,5,L,392
5ckvwhwy,6,H,412.6499999910593
5ckvwhwy,6,L,422.84999999403954
5g9je77m,1,H,350.90000000596046
5g9je77m,1,L,347.55000000447035
5g9je77m,2,H,357.8500000014901
5g9je77m,2,L,365.79999999701977
5g9je77m,3,H,347.29999999701977
5g9je77m,3,L,358.29999999701977
5g9je77m,4,H,334.05000000447035
5g9je77m,4,L,330.20000000298023
5g9je77m,5,H,331.04999999701977
5g9je77m,5,L,343.45000000298023
5g9je77m,6,H,342.09999999403954
5g9je77m,6,L,332.8999999985099
5l6mnknj,1,H,368.5999999996274
5l6mnknj,1,L,375.6000000005588
5l6mnknj,2,H,383.19999999925494
5l6mnknj,2,L,376.4000000003726
5l6mnknj,3,H,381.15000000037253
5l6mnknj,3,L,351.55000000074506
5l6mnknj,4,H,353.20000000018626
5l6mnknj,4,L,351.09999999962747
5l6mnknj,5,H,374.0999999996274
5l6mnknj,5,L,377.5
5l6mnknj,6,H,380.05000000074506
5l6mnknj,6,L,383.5
5tqven48,1,H,402.09999990463257
5tqven48,1,L,412.59999990463257
5tqven48,2,H,407.39999997615814
5tqven48,2,L,422.89999997615814
5tqven48,3,H,377.30000001192093
5tqven48,3,L,412.2000000476837
5tqven48,4,H,343.19999998807907
5tqven48,4,L,346.7000000476837
5tqven48,5,H,364.09999990463257
5tqven48,5,L,364.55000001192093
5tqven48,6,H,385.60000002384186
5tqven48,6,L,387.0499999523163
5un6y0nb,1,H,380
5un6y0nb,1,L,392
5un6y0nb,2,H,369.5
5un6y0nb,2,L,398
5un6y0nb,3,H,379
5un6y0nb,3,L,413
5un6y0nb,4,H,360
5un6y0nb,4,L,380
5un6y0nb,5,H,368.5
5un6y0nb,5,L,369.5
5un6y0nb,6,H,350
5un6y0nb,6,L,367
5vluzm8n,1,H,453.04999999701977
5vluzm8n,1,L,459
5vluzm8n,2,H,432.5
5vluzm8n,2,L,412.699999988079
5vluzm8n,3,H,385.40000000596046
5vluzm8n,3,L,397.90000000596046
5vluzm8n,4,H,354.34999999403954
5vluzm8n,4,L,358.6499999910593
5vluzm8n,5,H,364.5
5vluzm8n,5,L,351.90000000596046
5vluzm8n,6,H,369.40000000596046
5vluzm8n,6,L,362.7000000178814
62pu08b1,1,H,389
62pu08b1,1,L,379.5
62pu08b1,2,H,394
62pu08b1,2,L,409
62pu08b1,3,H,389
62pu08b1,3,L,384
62pu08b1,4,H,380
62pu08b1,4,L,371
62pu08b1,5,H,397
62pu08b1,5,L,386.5
62pu08b1,6,H,395
62pu08b1,6,L,402
63xil5ki,1,H,361.75000005960464
63xil5ki,1,L,373.60000002384186
63xil5ki,2,H,370.09999990463257
63xil5ki,2,L,366.35000002384186
63xil5ki,3,H,370.60000002384186
63xil5ki,3,L,384.7999999523163
63xil5ki,4,H,346.60000002384186
63xil5ki,4,L,370.55000001192093
